StartTime,EndTime,SSID,BSSID,Frequency,Level
1485836931810,1485836933150,JioFi2_4F1BEF,c8:d7:79:4f:1b:ef,2457,-65
1485836931810,1485836933150,PESU(OnlyLAPTOP),6c:aa:b3:33:23:68,2472,-79
1485836931810,1485836933150,PESU(OnlyLAPTOP),6c:aa:b3:32:1e:78,2472,-85
1485836931810,1485836933150,PESU(OnlyLAPTOP),6c:aa:b3:32:24:88,2412,-90
1485836931810,1485836933150,hanumanth,e2:2c:b2:f3:24:64,2417,-92
1485836931810,1485836933150,PESU(OnlyLAPTOP),6c:aa:b3:32:24:8c,5220,-91
1485836931810,1485836933150,island-322A80,6c:aa:b3:72:2a:83,2462,-86
1485836933153,1485836934463,JioFi2_4F1BEF,c8:d7:79:4f:1b:ef,2457,-68
1485836933153,1485836934463,PESU(OnlyLAPTOP),6c:aa:b3:32:24:88,2412,-90
1485836933153,1485836934463,hanumanth,e2:2c:b2:f3:24:64,2417,-92
1485836933153,1485836934463,PESU(OnlyLAPTOP),6c:aa:b3:32:24:8c,5220,-91
1485836933153,1485836934463,island-322A80,6c:aa:b3:72:2a:83,2462,-86
1485836934465,1485836935789,JioFi2_4F1BEF,c8:d7:79:4f:1b:ef,2457,-65
1485836934465,1485836935789,PESU(OnlyLAPTOP),6c:aa:b3:32:24:88,2412,-90
1485836934465,1485836935789,hanumanth,e2:2c:b2:f3:24:64,2417,-92
1485836934465,1485836935789,PESU(OnlyLAPTOP),6c:aa:b3:32:24:8c,5220,-91
1485836934465,1485836935789,island-322A80,6c:aa:b3:72:2a:83,2462,-86
1485836934465,1485836935789,PESU(OnlyLAPTOP),6c:aa:b3:33:23:68,2472,-83
1485836934465,1485836935789,PESU(OnlyLAPTOP),6c:aa:b3:32:1e:78,2472,-84
1485836935790,1485836937656,JioFi2_4F1BEF,c8:d7:79:4f:1b:ef,2457,-65
1485836935790,1485836937656,PESU(OnlyLAPTOP),6c:aa:b3:32:24:88,2412,-90
1485836935790,1485836937656,hanumanth,e2:2c:b2:f3:24:64,2417,-92
1485836935790,1485836937656,PESU(OnlyLAPTOP),6c:aa:b3:32:24:8c,5220,-91
1485836935790,1485836937656,island-322A80,6c:aa:b3:72:2a:83,2462,-86
1485836935790,1485836937656,PESU(OnlyLAPTOP),6c:aa:b3:33:23:68,2472,-75
1485836935790,1485836937656,PESU(OnlyLAPTOP),6c:aa:b3:32:1e:78,2472,-84
1485836937662,1485836939472,JioFi2_4F1BEF,c8:d7:79:4f:1b:ef,2457,-67
1485836937662,1485836939472,PESU(OnlyLAPTOP),6c:aa:b3:32:24:88,2412,-90
1485836937662,1485836939472,hanumanth,e2:2c:b2:f3:24:64,2417,-92
1485836937662,1485836939472,PESU(OnlyLAPTOP),6c:aa:b3:32:24:8c,5220,-91
1485836937662,1485836939472,island-322A80,6c:aa:b3:72:2a:83,2462,-86
1485836937662,1485836939472,PESU(OnlyLAPTOP),6c:aa:b3:33:23:68,2472,-75
1485836937662,1485836939472,PESU(OnlyLAPTOP),6c:aa:b3:32:1e:78,2472,-84
1485836939476,1485836941364,JioFi2_4F1BEF,c8:d7:79:4f:1b:ef,2457,-67
1485836939476,1485836941364,PESU(OnlyLAPTOP),6c:aa:b3:32:24:88,2412,-90
1485836939476,1485836941364,hanumanth,e2:2c:b2:f3:24:64,2417,-92
1485836939476,1485836941364,PESU(OnlyLAPTOP),6c:aa:b3:32:24:8c,5220,-91
1485836939476,1485836941364,island-322A80,6c:aa:b3:72:2a:83,2462,-86
1485836939476,1485836941364,PESU(OnlyLAPTOP),6c:aa:b3:33:23:68,2472,-74
1485836939476,1485836941364,PESU(OnlyLAPTOP),6c:aa:b3:32:1e:78,2472,-84
1485836941368,1485836943262,JioFi2_4F1BEF,c8:d7:79:4f:1b:ef,2457,-75
1485836941368,1485836943262,PESU(OnlyLAPTOP),6c:aa:b3:32:24:88,2412,-90
1485836941368,1485836943262,hanumanth,e2:2c:b2:f3:24:64,2417,-92
1485836941368,1485836943262,PESU(OnlyLAPTOP),6c:aa:b3:32:24:8c,5220,-91
1485836941368,1485836943262,island-322A80,6c:aa:b3:72:2a:83,2462,-86
1485836941368,1485836943262,PESU(OnlyLAPTOP),6c:aa:b3:33:23:68,2472,-74
1485836941368,1485836943262,PESU(OnlyLAPTOP),6c:aa:b3:32:1e:78,2472,-84
1485836943265,1485836945304,JioFi2_4F1BEF,c8:d7:79:4f:1b:ef,2457,-73
1485836943265,1485836945304,PESU(OnlyLAPTOP),6c:aa:b3:32:24:88,2412,-90
1485836943265,1485836945304,island-322A80,6c:aa:b3:72:2a:83,2462,-86
1485836943265,1485836945304,PESU(OnlyLAPTOP),6c:aa:b3:33:23:68,2472,-68
1485836943265,1485836945304,PESU(OnlyLAPTOP),6c:aa:b3:32:1e:78,2472,-84
1485836945308,1485836947271,JioFi2_4F1BEF,c8:d7:79:4f:1b:ef,2457,-69
1485836945308,1485836947271,PESU(OnlyLAPTOP),6c:aa:b3:33:23:68,2472,-67
1485836945308,1485836947271,PESU(OnlyLAPTOP),6c:aa:b3:32:1e:78,2472,-79
1485836947275,1485836949280,JioFi2_4F1BEF,c8:d7:79:4f:1b:ef,2457,-69
1485836947275,1485836949280,PESU(OnlyLAPTOP),6c:aa:b3:33:23:68,2472,-68
1485836947275,1485836949280,PESU(OnlyLAPTOP),6c:aa:b3:32:1e:78,2472,-79
1485836947275,1485836949280,CCBD Student,06:27:22:e9:77:cf,2412,-87
1485836947275,1485836949280,PESU(OnlyLAPTOP),6c:aa:b3:32:24:88,2412,-79
1485836949285,1485836951347,JioFi2_4F1BEF,c8:d7:79:4f:1b:ef,2457,-69
1485836949285,1485836951347,PESU(OnlyLAPTOP),6c:aa:b3:33:23:68,2472,-68
1485836949285,1485836951347,PESU(OnlyLAPTOP),6c:aa:b3:32:1e:78,2472,-79
1485836949285,1485836951347,CCBD Student,06:27:22:e9:77:cf,2412,-87
1485836949285,1485836951347,PESU(OnlyLAPTOP),6c:aa:b3:32:24:88,2412,-79
1485836949285,1485836951347,PESU(OnlyLAPTOP),6c:aa:b3:32:55:38,2457,-87
1485836951352,1485836953325,JioFi2_4F1BEF,c8:d7:79:4f:1b:ef,2457,-69
1485836951352,1485836953325,PESU(OnlyLAPTOP),6c:aa:b3:33:23:68,2472,-67
1485836951352,1485836953325,PESU(OnlyLAPTOP),6c:aa:b3:32:1e:78,2472,-79
1485836951352,1485836953325,CCBD Student,06:27:22:e9:77:cf,2412,-87
