StartTime,EndTime,SSID,BSSID,Frequency,Level
1485837592678,1485837594299,JioFi2_4F1BEF,c8:d7:79:4f:1b:ef,2457,-51
1485837592678,1485837594299,049_lolipop,9c:5c:8e:9c:6c:6d,2462,-65
1485837592678,1485837594299,010_6.0.1,da:3c:69:34:c6:e7,2412,-59
1485837592678,1485837594299,013_5.0.2,36:fc:ef:f4:57:35,2442,-46
1485837592678,1485837594299,009_6.0.1X,64:cc:2e:b8:9f:6e,2437,-54
1485837592678,1485837594299,50_6.0.1,b4:ef:fa:94:4c:9f,2462,-61
1485837592678,1485837594299,026_7.1.1,02:1a:11:f3:ec:60,2437,-50
1485837592678,1485837594299,034_6.0.1,30:5a:3a:bc:8b:43,2412,-57
1485837592678,1485837594299,31_6.0,56:27:58:c9:bd:c5,2412,-56
1485837592678,1485837594299,42_4.2.2,4e:21:d0:d3:6a:00,2412,-63
1485837592678,1485837594299,018_6.0.1,c0:ee:fb:30:73:f7,2462,-57
1485837592678,1485837594299,029_5.1.1,02:1a:11:f9:6b:b2,2437,-54
1485837592678,1485837594299,45_6.0.1,b4:ef:fa:51:ab:75,2462,-52
1485837592678,1485837594299,028_5.0.2,58:44:98:b4:0e:c6,2437,-58
1485837592678,1485837594299,019_6.0.1X,78:02:f8:89:d6:ff,2462,-46
1485837592678,1485837594299,002_6.0.1,c0:ee:fb:31:1a:2c,2412,-55
1485837592678,1485837594299,041_6.0.1x,38:a4:ed:cd:54:49,2462,-59
1485837592678,1485837594299,001_7.1.1,64:bc:0c:64:12:d0,2412,-50
1485837592678,1485837594299,017_6.0.1,c0:ee:fb:33:70:10,2412,-59
1485837592678,1485837594299,6_lollipop,00:ee:bd:0a:bf:43,2437,-55
1485837592678,1485837594299,036_6.0.1X,64:09:80:cb:73:11,2462,-61
1485837592678,1485837594299,027_5.1,34:bb:26:10:6b:cd,2462,-59
1485837592678,1485837594299,012_7.0,94:65:2d:00:6c:49,2412,-56
1485837592678,1485837594299,022_7.0,c0:ee:fb:dd:22:99,2412,-59
1485837592678,1485837594299,3_6.0,a2:32:99:21:78:f5,2462,-56
1485837592678,1485837594299,007_6.0.1X ,74:23:44:33:ee:1f,2462,-52
1485837592678,1485837594299,035_7.0,88:79:7e:84:65:0a,2412,-53
1485837592678,1485837594299,15_7.0,88:79:7e:7b:6d:01,2412,-54
1485837592678,1485837594299,023_5.1,40:78:6a:b2:b7:58,2462,-62
1485837592678,1485837594299,008_6.0.1X,78:02:f8:cb:d4:0f,2462,-52
1485837592678,1485837594299,033_5.1.1,a0:e4:53:d0:70:56,2462,-53
1485837592678,1485837594299,014_6.0.1,c0:ee:fb:3c:02:99,2412,-53
1485837592678,1485837594299,039_5.0,ac:9e:17:02:c9:58,2437,-55
1485837592678,1485837594299,032_4.4.4,ec:88:92:cb:02:c4,2427,-59
1485837592678,1485837594299,048_Gingerbread,d4:87:d8:b7:98:1a,2437,-53
1485837592678,1485837594299,006_Nougat,88:79:7e:7b:6b:48,2437,-47
1485837592678,1485837594299,040_5.1.1x,38:a4:ed:e8:17:1d,2437,-57
1485837592678,1485837594299,044_6.0.1,ac:c1:ee:b1:cf:c9,2412,-49
1485837592678,1485837594299,020_6.0,56:27:58:11:73:6f,2437,-53
1485837592678,1485837594299,004_7.0,c0:ee:fb:ec:91:5e,2437,-50
1485837592678,1485837594299,037_iOS,62:a3:7d:14:40:41,2437,-71
1485837592678,1485837594299,25_6.0.1,1c:99:4c:6c:d1:e9,2412,-67
1485837592678,1485837594299,Nadig,c0:ee:fb:30:a6:c4,2437,-54
1485837592678,1485837594299,016_6.0,a4:70:d6:4d:cd:b9,2447,-53
1485837592678,1485837594299,024_6.0.x,74:23:44:3a:f3:ef,2462,-64
1485837592678,1485837594299,PESU(OnlyLAPTOP),6c:aa:b3:32:24:88,2412,-85
