StartTime,EndTime,SSID,BSSID,Frequency,Level
1485834528128,1485834530615,shambhavi,c4:e9:84:7a:d0:5c,2422,-92
1485834528128,1485834530615,123456789,78:02:f8:c3:97:f1,2462,-96
1485834528128,1485834530615,PES-University-2,06:27:22:e9:74:b8,2437,-97
1485834528128,1485834530615,PESU(LaptopOnly),6c:aa:b3:33:1c:28,2442,-98
1485834530617,1485834533090,shambhavi,c4:e9:84:7a:d0:5c,2422,-91
1485834530617,1485834533090,123456789,78:02:f8:c3:97:f1,2462,-96
1485834530617,1485834533090,PES-University-2,06:27:22:e9:74:b8,2437,-90
1485834530617,1485834533090,PESU(LaptopOnly),6c:aa:b3:33:1c:28,2442,-94
1485834530617,1485834533090,PESU(LaptopOnly),6c:aa:b3:32:2f:c8,2472,-86
1485834533091,1485834535556,shambhavi,c4:e9:84:7a:d0:5c,2422,-92
1485834533091,1485834535556,PES-University-2,06:27:22:e9:74:b8,2437,-86
1485834533091,1485834535556,PESU(LaptopOnly),6c:aa:b3:33:1c:28,2442,-96
1485834533091,1485834535556,PESU(LaptopOnly),6c:aa:b3:32:2f:c8,2472,-89
1485834535558,1485834538029,shambhavi,c4:e9:84:7a:d0:5c,2422,-91
1485834535558,1485834538029,PES-University-2,06:27:22:e9:74:b8,2437,-88
1485834535558,1485834538029,PESU(LaptopOnly),6c:aa:b3:33:1c:28,2442,-98
1485834535558,1485834538029,PESU(LaptopOnly),6c:aa:b3:32:2f:c8,2472,-90
1485834535558,1485834538029,Startup,50:09:59:83:da:21,2412,-99
1485834538030,1485834540496,shambhavi,c4:e9:84:7a:d0:5c,2422,-89
1485834538030,1485834540496,PES-University-2,06:27:22:e9:74:b8,2437,-91
1485834538030,1485834540496,PESU(LaptopOnly),6c:aa:b3:33:1c:28,2442,-98
1485834538030,1485834540496,PESU(LaptopOnly),6c:aa:b3:32:2f:c8,2472,-90
1485834538030,1485834540496,Startup,50:09:59:83:da:21,2412,-99
1485834540498,1485834542962,shambhavi,c4:e9:84:7a:d0:5c,2422,-88
1485834540498,1485834542962,PES-University-2,06:27:22:e9:74:b8,2437,-88
1485834540498,1485834542962,PESU(LaptopOnly),6c:aa:b3:32:2f:c8,2472,-90
1485834542962,1485834545436,shambhavi,c4:e9:84:7a:d0:5c,2422,-93
1485834542962,1485834545436,PES-University-2,06:27:22:e9:74:b8,2437,-87
1485834542962,1485834545436,PESU(LaptopOnly),6c:aa:b3:32:2f:c8,2472,-86
1485834545437,1485834547903,shambhavi,c4:e9:84:7a:d0:5c,2422,-99
1485834545437,1485834547903,PES-University-2,06:27:22:e9:74:b8,2437,-87
1485834545437,1485834547903,PESU(LaptopOnly),6c:aa:b3:32:2f:c8,2472,-88
1485834547904,1485834550368,shambhavi,c4:e9:84:7a:d0:5c,2422,-90
1485834547904,1485834550368,PES-University-2,06:27:22:e9:74:b8,2437,-90
1485834547904,1485834550368,PESU(LaptopOnly),6c:aa:b3:32:2f:c8,2472,-88
1485834550369,1485834552834,shambhavi,c4:e9:84:7a:d0:5c,2422,-90
1485834550369,1485834552834,PES-University-2,06:27:22:e9:74:b8,2437,-92
1485834550369,1485834552834,PESU(LaptopOnly),6c:aa:b3:32:2f:c8,2472,-87
1485834550369,1485834552834,123456789,78:02:f8:c3:97:f1,2462,-95
1485834552835,1485834555307,shambhavi,c4:e9:84:7a:d0:5c,2422,-96
1485834552835,1485834555307,PES-University-2,06:27:22:e9:74:b8,2437,-92
1485834552835,1485834555307,PESU(LaptopOnly),6c:aa:b3:32:2f:c8,2472,-91
1485834552835,1485834555307,123456789,78:02:f8:c3:97:f1,2462,-95
1485834552835,1485834555307,PESU(LaptopOnly),6c:aa:b3:33:1c:28,2442,-98
1485834555308,1485834557775,shambhavi,c4:e9:84:7a:d0:5c,2422,-91
1485834555308,1485834557775,PES-University-2,06:27:22:e9:74:b8,2437,-86
1485834555308,1485834557775,PESU(LaptopOnly),6c:aa:b3:32:2f:c8,2472,-89
1485834555308,1485834557775,123456789,78:02:f8:c3:97:f1,2462,-95
1485834555308,1485834557775,PESU(LaptopOnly),6c:aa:b3:33:1c:28,2442,-98
1485834557779,1485834560246,shambhavi,c4:e9:84:7a:d0:5c,2422,-87
1485834557779,1485834560246,PES-University-2,06:27:22:e9:74:b8,2437,-91
1485834557779,1485834560246,PESU(LaptopOnly),6c:aa:b3:32:2f:c8,2472,-88
1485834557779,1485834560246,123456789,78:02:f8:c3:97:f1,2462,-88
1485834560247,1485834562716,shambhavi,c4:e9:84:7a:d0:5c,2422,-90
1485834560247,1485834562716,PES-University-2,06:27:22:e9:74:b8,2437,-85
1485834560247,1485834562716,PESU(LaptopOnly),6c:aa:b3:32:2f:c8,2472,-88
1485834560247,1485834562716,123456789,78:02:f8:c3:97:f1,2462,-88
1485834562717,1485834565187,shambhavi,c4:e9:84:7a:d0:5c,2422,-90
1485834562717,1485834565187,PES-University-2,06:27:22:e9:74:b8,2437,-87
1485834562717,1485834565187,PESU(LaptopOnly),6c:aa:b3:32:2f:c8,2472,-89
1485834565188,1485834567649,PES-University-2,06:27:22:e9:74:b8,2437,-88
1485834565188,1485834567649,PESU(LaptopOnly),6c:aa:b3:32:2f:c8,2472,-90
1485834567649,1485834570118,PES-University-2,06:27:22:e9:74:b8,2437,-87
1485834567649,1485834570118,PESU(LaptopOnly),6c:aa:b3:32:2f:c8,2472,-88
1485834567649,1485834570118,shambhavi,c4:e9:84:7a:d0:5c,2422,-97
1485834570119,1485834572585,PES-University-2,06:27:22:e9:74:b8,2437,-88
1485834570119,1485834572585,PESU(LaptopOnly),6c:aa:b3:32:2f:c8,2472,-88
1485834570119,1485834572585,shambhavi,c4:e9:84:7a:d0:5c,2422,-95
1485834570119,1485834572585,123456789,78:02:f8:c3:97:f1,2462,-95
1485834570119,1485834572585,PESU(LaptopOnly),6c:aa:b3:33:1c:28,2442,-96
1485834572586,1485834575049,PES-University-2,06:27:22:e9:74:b8,2437,-85
1485834572586,1485834575049,PESU(LaptopOnly),6c:aa:b3:32:2f:c8,2472,-88
1485834572586,1485834575049,shambhavi,c4:e9:84:7a:d0:5c,2422,-92
1485834572586,1485834575049,123456789,78:02:f8:c3:97:f1,2462,-96
1485834572586,1485834575049,PESU(LaptopOnly),6c:aa:b3:33:1c:28,2442,-98
1485834575050,1485834577516,PES-University-2,06:27:22:e9:74:b8,2437,-86
1485834575050,1485834577516,PESU(LaptopOnly),6c:aa:b3:32:2f:c8,2472,-89
1485834575050,1485834577516,shambhavi,c4:e9:84:7a:d0:5c,2422,-94
1485834575050,1485834577516,123456789,78:02:f8:c3:97:f1,2462,-96
1485834575050,1485834577516,PESU(LaptopOnly),6c:aa:b3:33:1c:28,2442,-99
1485834577520,1485834579986,PES-University-2,06:27:22:e9:74:b8,2437,-86
1485834577520,1485834579986,PESU(LaptopOnly),6c:aa:b3:32:2f:c8,2472,-87
1485834577520,1485834579986,shambhavi,c4:e9:84:7a:d0:5c,2422,-93
1485834577520,1485834579986,123456789,78:02:f8:c3:97:f1,2462,-97
1485834577520,1485834579986,PESU(LaptopOnly),6c:aa:b3:33:1c:28,2442,-98
1485834579987,1485834582584,PES-University-2,06:27:22:e9:74:b8,2437,-85
1485834579987,1485834582584,PESU(LaptopOnly),6c:aa:b3:32:2f:c8,2472,-87
1485834579987,1485834582584,shambhavi,c4:e9:84:7a:d0:5c,2422,-91
1485834579987,1485834582584,123456789,78:02:f8:c3:97:f1,2462,-97
1485834579987,1485834582584,PESU(LaptopOnly),6c:aa:b3:33:1c:28,2442,-97
1485834582586,1485834585073,PES-University-2,06:27:22:e9:74:b8,2437,-90
1485834582586,1485834585073,PESU(LaptopOnly),6c:aa:b3:32:2f:c8,2472,-88
1485834582586,1485834585073,shambhavi,c4:e9:84:7a:d0:5c,2422,-90
1485834582586,1485834585073,123456789,78:02:f8:c3:97:f1,2462,-96
1485834582586,1485834585073,PESU(LaptopOnly),6c:aa:b3:33:1c:28,2442,-97
1485834585074,1485834587635,PES-University-2,06:27:22:e9:74:b8,2437,-81
1485834585074,1485834587635,PESU(LaptopOnly),6c:aa:b3:32:2f:c8,2472,-82
1485834585074,1485834587635,shambhavi,c4:e9:84:7a:d0:5c,2422,-92
1485834585074,1485834587635,123456789,78:02:f8:c3:97:f1,2462,-96
