StartTime,EndTime,SSID,BSSID,Frequency,Level
1485837596374,1485837597462,JioFi2_4F1BEF,c8:d7:79:4f:1b:ef,2457,-64
1485837596374,1485837597462,049_lolipop,9c:5c:8e:9c:6c:6d,2462,-59
1485837596374,1485837597462,009_6.0.1X,64:cc:2e:b8:9f:6e,2437,-55
1485837596374,1485837597462,45_6.0.1,b4:ef:fa:51:ab:75,2462,-56
1485837596374,1485837597462,013_5.0.2,36:fc:ef:f4:57:35,2442,-55
1485837596374,1485837597462,010_6.0.1,da:3c:69:34:c6:e7,2412,-53
1485837596374,1485837597462,026_7.1.1,02:1a:11:f3:ec:60,2437,-53
1485837596374,1485837597462,42_4.2.2,4e:21:d0:d3:6a:00,2412,-60
1485837596374,1485837597462,018_6.0.1,c0:ee:fb:30:73:f7,2462,-55
1485837596374,1485837597462,028_5.0.2,58:44:98:b4:0e:c6,2437,-56
1485837596374,1485837597462,029_5.1.1,02:1a:11:f9:6b:b2,2437,-55
1485837596374,1485837597462,002_6.0.1,c0:ee:fb:31:1a:2c,2412,-46
1485837596374,1485837597462,019_6.0.1X,78:02:f8:89:d6:ff,2462,-50
1485837596374,1485837597462,012_7.0,94:65:2d:00:6c:49,2412,-51
1485837596374,1485837597462,001_7.1.1,64:bc:0c:64:12:d0,2412,-51
1485837596374,1485837597462,31_6.0,56:27:58:c9:bd:c5,2412,-58
1485837596374,1485837597462,048_Gingerbread,d4:87:d8:b7:98:1a,2437,-66
1485837596374,1485837597462,6_lollipop,00:ee:bd:0a:bf:43,2437,-68
1485837596374,1485837597462,022_7.0,c0:ee:fb:dd:22:99,2412,-62
1485837596374,1485837597462,017_6.0.1,c0:ee:fb:33:70:10,2412,-63
1485837596374,1485837597462,3_6.0,a2:32:99:21:78:f5,2462,-59
1485837596374,1485837597462,023_5.1,40:78:6a:b2:b7:58,2462,-64
1485837596374,1485837597462,011_5.1.1.X,b0:e2:35:5f:58:15,2437,-61
1485837596374,1485837597462,014_6.0.1,c0:ee:fb:3c:02:99,2412,-45
1485837596374,1485837597462,008_6.0.1X,78:02:f8:cb:d4:0f,2462,-48
1485837596374,1485837597462,032_4.4.4,ec:88:92:cb:02:c4,2427,-52
1485837596374,1485837597462,033_5.1.1,a0:e4:53:d0:70:56,2462,-56
1485837596374,1485837597462,027_5.1,34:bb:26:10:6b:cd,2462,-67
1485837596374,1485837597462,039_5.0,ac:9e:17:02:c9:58,2437,-57
1485837596374,1485837597462,006_Nougat,88:79:7e:7b:6b:48,2437,-49
1485837596374,1485837597462,007_6.0.1X ,74:23:44:33:ee:1f,2462,-63
1485837596374,1485837597462,50_6.0.1,b4:ef:fa:94:4c:9f,2462,-63
1485837596374,1485837597462,044_6.0.1,ac:c1:ee:b1:cf:c9,2412,-62
1485837596374,1485837597462,035_7.0,88:79:7e:84:65:0a,2412,-63
1485837596374,1485837597462,037_iOS,62:a3:7d:14:40:41,2437,-71
1485837596374,1485837597462,004_7.0,c0:ee:fb:ec:91:5e,2437,-51
1485837596374,1485837597462,016_6.0,a4:70:d6:4d:cd:b9,2447,-53
1485837596374,1485837597462,040_5.1.1x,38:a4:ed:e8:17:1d,2437,-61
1485837596374,1485837597462,38_5.0.2,f4:f1:e1:af:6f:85,2412,-58
1485837596374,1485837597462,Nadig,c0:ee:fb:30:a6:c4,2437,-65
1485837596374,1485837597462,036_6.0.1X,64:09:80:cb:73:11,2462,-60
1485837596374,1485837597462,25_6.0.1,1c:99:4c:6c:d1:e9,2412,-69
1485837596374,1485837597462,024_6.0.x,74:23:44:3a:f3:ef,2462,-72
1485837596374,1485837597462,020_6.0,56:27:58:11:73:6f,2437,-57
1485837596374,1485837597462,041_6.0.1x,38:a4:ed:cd:54:49,2462,-59
1485837597467,1485837607223,JioFi2_4F1BEF,c8:d7:79:4f:1b:ef,2457,-64
1485837597467,1485837607223,049_lolipop,9c:5c:8e:9c:6c:6d,2462,-59
1485837597467,1485837607223,009_6.0.1X,64:cc:2e:b8:9f:6e,2437,-55
1485837597467,1485837607223,45_6.0.1,b4:ef:fa:51:ab:75,2462,-58
1485837597467,1485837607223,013_5.0.2,36:fc:ef:f4:57:35,2442,-55
1485837597467,1485837607223,010_6.0.1,da:3c:69:34:c6:e7,2412,-51
1485837597467,1485837607223,026_7.1.1,02:1a:11:f3:ec:60,2437,-57
1485837597467,1485837607223,42_4.2.2,4e:21:d0:d3:6a:00,2412,-58
1485837597467,1485837607223,018_6.0.1,c0:ee:fb:30:73:f7,2462,-55
1485837597467,1485837607223,028_5.0.2,58:44:98:b4:0e:c6,2437,-59
1485837597467,1485837607223,029_5.1.1,02:1a:11:f9:6b:b2,2437,-51
1485837597467,1485837607223,002_6.0.1,c0:ee:fb:31:1a:2c,2412,-42
1485837597467,1485837607223,019_6.0.1X,78:02:f8:89:d6:ff,2462,-50
1485837597467,1485837607223,012_7.0,94:65:2d:00:6c:49,2412,-51
1485837597467,1485837607223,001_7.1.1,64:bc:0c:64:12:d0,2412,-48
1485837597467,1485837607223,31_6.0,56:27:58:c9:bd:c5,2412,-58
1485837597467,1485837607223,048_Gingerbread,d4:87:d8:b7:98:1a,2437,-66
1485837597467,1485837607223,6_lollipop,00:ee:bd:0a:bf:43,2437,-59
1485837597467,1485837607223,022_7.0,c0:ee:fb:dd:22:99,2412,-64
1485837597467,1485837607223,017_6.0.1,c0:ee:fb:33:70:10,2412,-63
1485837597467,1485837607223,3_6.0,a2:32:99:21:78:f5,2462,-56
1485837597467,1485837607223,023_5.1,40:78:6a:b2:b7:58,2462,-61
1485837597467,1485837607223,011_5.1.1.X,b0:e2:35:5f:58:15,2437,-61
1485837597467,1485837607223,014_6.0.1,c0:ee:fb:3c:02:99,2412,-47
1485837597467,1485837607223,008_6.0.1X,78:02:f8:cb:d4:0f,2462,-50
1485837597467,1485837607223,032_4.4.4,ec:88:92:cb:02:c4,2427,-52
1485837597467,1485837607223,033_5.1.1,a0:e4:53:d0:70:56,2462,-54
1485837597467,1485837607223,027_5.1,34:bb:26:10:6b:cd,2462,-73
1485837597467,1485837607223,039_5.0,ac:9e:17:02:c9:58,2437,-57
1485837597467,1485837607223,006_Nougat,88:79:7e:7b:6b:48,2437,-50
1485837597467,1485837607223,007_6.0.1X ,74:23:44:33:ee:1f,2462,-63
1485837597467,1485837607223,50_6.0.1,b4:ef:fa:94:4c:9f,2462,-56
1485837597467,1485837607223,044_6.0.1,ac:c1:ee:b1:cf:c9,2412,-62
1485837597467,1485837607223,035_7.0,88:79:7e:84:65:0a,2412,-63
1485837597467,1485837607223,037_iOS,62:a3:7d:14:40:41,2437,-64
1485837597467,1485837607223,004_7.0,c0:ee:fb:ec:91:5e,2437,-48
1485837597467,1485837607223,016_6.0,a4:70:d6:4d:cd:b9,2447,-51
1485837597467,1485837607223,040_5.1.1x,38:a4:ed:e8:17:1d,2437,-61
1485837597467,1485837607223,38_5.0.2,f4:f1:e1:af:6f:85,2412,-49
1485837597467,1485837607223,Nadig,c0:ee:fb:30:a6:c4,2437,-65
1485837597467,1485837607223,036_6.0.1X,64:09:80:cb:73:11,2462,-60
1485837597467,1485837607223,25_6.0.1,1c:99:4c:6c:d1:e9,2412,-64
1485837597467,1485837607223,024_6.0.x,74:23:44:3a:f3:ef,2462,-72
1485837597467,1485837607223,020_6.0,56:27:58:11:73:6f,2437,-50
1485837597467,1485837607223,041_6.0.1x,38:a4:ed:cd:54:49,2462,-56
1485837597467,1485837607223,15_7.0,88:79:7e:7b:6d:01,2462,-47
1485837607234,1485837608005,JioFi2_4F1BEF,c8:d7:79:4f:1b:ef,2457,-64
1485837607234,1485837608005,049_lolipop,9c:5c:8e:9c:6c:6d,2462,-59
1485837607234,1485837608005,009_6.0.1X,64:cc:2e:b8:9f:6e,2437,-53
1485837607234,1485837608005,45_6.0.1,b4:ef:fa:51:ab:75,2462,-58
1485837607234,1485837608005,013_5.0.2,36:fc:ef:f4:57:35,2442,-55
1485837607234,1485837608005,010_6.0.1,da:3c:69:34:c6:e7,2412,-51
1485837607234,1485837608005,026_7.1.1,02:1a:11:f3:ec:60,2437,-53
1485837607234,1485837608005,42_4.2.2,4e:21:d0:d3:6a:00,2412,-58
1485837607234,1485837608005,018_6.0.1,c0:ee:fb:30:73:f7,2462,-54
1485837607234,1485837608005,028_5.0.2,58:44:98:b4:0e:c6,2437,-59
1485837607234,1485837608005,029_5.1.1,02:1a:11:f9:6b:b2,2437,-51
1485837607234,1485837608005,002_6.0.1,c0:ee:fb:31:1a:2c,2412,-46
1485837607234,1485837608005,019_6.0.1X,78:02:f8:89:d6:ff,2462,-50
1485837607234,1485837608005,012_7.0,94:65:2d:00:6c:49,2412,-53
1485837607234,1485837608005,001_7.1.1,64:bc:0c:64:12:d0,2412,-50
1485837607234,1485837608005,31_6.0,56:27:58:c9:bd:c5,2412,-65
1485837607234,1485837608005,048_Gingerbread,d4:87:d8:b7:98:1a,2437,-63
1485837607234,1485837608005,6_lollipop,00:ee:bd:0a:bf:43,2437,-59
1485837607234,1485837608005,022_7.0,c0:ee:fb:dd:22:99,2412,-63
1485837607234,1485837608005,017_6.0.1,c0:ee:fb:33:70:10,2412,-67
1485837607234,1485837608005,3_6.0,a2:32:99:21:78:f5,2462,-57
1485837607234,1485837608005,023_5.1,40:78:6a:b2:b7:58,2462,-64
1485837607234,1485837608005,011_5.1.1.X,b0:e2:35:5f:58:15,2437,-56
1485837607234,1485837608005,014_6.0.1,c0:ee:fb:3c:02:99,2412,-48
1485837607234,1485837608005,008_6.0.1X,78:02:f8:cb:d4:0f,2462,-50
1485837607234,1485837608005,032_4.4.4,ec:88:92:cb:02:c4,2427,-53
1485837607234,1485837608005,033_5.1.1,a0:e4:53:d0:70:56,2462,-54
1485837607234,1485837608005,027_5.1,34:bb:26:10:6b:cd,2462,-73
1485837607234,1485837608005,039_5.0,ac:9e:17:02:c9:58,2437,-57
1485837607234,1485837608005,006_Nougat,88:79:7e:7b:6b:48,2437,-52
1485837607234,1485837608005,007_6.0.1X ,74:23:44:33:ee:1f,2462,-63
1485837607234,1485837608005,50_6.0.1,b4:ef:fa:94:4c:9f,2462,-52
1485837607234,1485837608005,037_iOS,62:a3:7d:14:40:41,2437,-62
1485837607234,1485837608005,004_7.0,c0:ee:fb:ec:91:5e,2437,-48
1485837607234,1485837608005,016_6.0,a4:70:d6:4d:cd:b9,2447,-51
1485837607234,1485837608005,38_5.0.2,f4:f1:e1:af:6f:85,2412,-49
1485837607234,1485837608005,Nadig,c0:ee:fb:30:a6:c4,2437,-65
1485837607234,1485837608005,036_6.0.1X,64:09:80:cb:73:11,2462,-60
1485837607234,1485837608005,25_6.0.1,1c:99:4c:6c:d1:e9,2412,-68
1485837607234,1485837608005,024_6.0.x,74:23:44:3a:f3:ef,2462,-64
1485837607234,1485837608005,020_6.0,56:27:58:11:73:6f,2437,-50
1485837607234,1485837608005,041_6.0.1x,38:a4:ed:cd:54:49,2462,-56
1485837607234,1485837608005,15_7.0,88:79:7e:7b:6d:01,2462,-46
1485837607234,1485837608005,034_6.0.1,30:5a:3a:bc:8b:43,2412,-51
1485837607234,1485837608005,PESU(OnlyLAPTOP),6c:aa:b3:33:23:68,2472,-57
1485837608017,1485837618050,JioFi2_4F1BEF,c8:d7:79:4f:1b:ef,2457,-62
1485837608017,1485837618050,049_lolipop,9c:5c:8e:9c:6c:6d,2462,-55
1485837608017,1485837618050,009_6.0.1X,64:cc:2e:b8:9f:6e,2437,-51
1485837608017,1485837618050,45_6.0.1,b4:ef:fa:51:ab:75,2462,-58
1485837608017,1485837618050,013_5.0.2,36:fc:ef:f4:57:35,2442,-57
1485837608017,1485837618050,010_6.0.1,da:3c:69:34:c6:e7,2412,-54
1485837608017,1485837618050,026_7.1.1,02:1a:11:f3:ec:60,2437,-53
1485837608017,1485837618050,42_4.2.2,4e:21:d0:d3:6a:00,2412,-53
